ArtistID,ArtistName,ArtistTag
"ARMJAGH1187FB546F3","The Box Tops","classic pop and rock"
"AR7G5I41187FB4CE6C","Adam Ant","uk"
"AR7G5I41187FB4CE6C","Adam Ant","british"
"AR7G5I41187FB4CE6C","Adam Ant","english"
"ARIK43K1187B9AE54C","Lionel Richie","soul and reggae"
"ARD842G1187B997376","Blue Rodeo","canadian"
"ARD842G1187B997376","Blue Rodeo","country rock"
"ARD842G1187B997376","Blue Rodeo","rock"
"ARD842G1187B997376","Blue Rodeo","folk"
"ARMAC4T1187FB3FA4C","The Dillinger Escape Plan","rock and indie"
"ARMAC4T1187FB3FA4C","The Dillinger Escape Plan","metal"
"ARB29H41187B98F0EF","Terry Callier","classic pop and rock"
"ARPQ4Z01187FB3A736","Butthole Surfers","texas"
"ARPQ4Z01187FB3A736","Butthole Surfers","san antonio"
"ARPQ4Z01187FB3A736","Butthole Surfers","punk"
"ARPQ4Z01187FB3A736","Butthole Surfers","usa"
"ARDD1RC1187B9B52B4","Jacob Young","jazz and blues"
"ARFCUN31187B9AD578","The Rolling Stones","british"
"ARFCUN31187B9AD578","The Rolling Stones","uk"
"ARFCUN31187B9AD578","The Rolling Stones","rock"
"ARFCUN31187B9AD578","The Rolling Stones","rnb"
"ARFCUN31187B9AD578","The Rolling Stones","blues"
"ARFCUN31187B9AD578","The Rolling Stones","rock and roll"
"ARFCUN31187B9AD578","The Rolling Stones","country"
"ARFCUN31187B9AD578","The Rolling Stones","english"
"ARFCUN31187B9AD578","The Rolling Stones","classic pop and rock"
"ARFCUN31187B9AD578","The Rolling Stones","the-rolling-stones"
"ARFCUN31187B9AD578","The Rolling Stones","britannique"
"ARFCUN31187B9AD578","The Rolling Stones","reggae"
"ARFCUN31187B9AD578","The Rolling Stones","psychedelic rock"
"ARV1JVD1187B9AD195","Loudon Wainwright III","easy listening soundtracks and musicals"
"ARV1JVD1187B9AD195","Loudon Wainwright III","folk"
"AR7TTS41187B9B42D3","R.L. Burnside","delta blues"
"AR7TTS41187B9B42D3","R.L. Burnside","blues"
"AR7TTS41187B9B42D3","R.L. Burnside","electric blues"
"ART3O5Z1187B9AB043","Stevie Ray Vaughan","jazz and blues"
"AR5U94U1187FB5CDCF","John Hammond","folk"
"ARRJNTE1187FB44E12","Casiotone For The Painfully Alone","dance and electronica"
"ARS1OWB1187B99EEAD","The New York Dolls","punk"
"ARS1OWB1187B99EEAD","The New York Dolls","usa"
"ARS1OWB1187B99EEAD","The New York Dolls","classic pop and rock"
"ARS1OWB1187B99EEAD","The New York Dolls","protopunk"
"ARS1OWB1187B99EEAD","The New York Dolls","rock"
"ARS1OWB1187B99EEAD","The New York Dolls","american"
"ARS1OWB1187B99EEAD","The New York Dolls","punk rock"
"ARS1OWB1187B99EEAD","The New York Dolls","glam punk"
"ARGMXQW1187FB54C34","Eliane Elias","brazilian"
"ARGMXQW1187FB54C34","Eliane Elias","bossa nova"
"AROEL1B1187B988B90","Lost Boyz","american"
"AROEL1B1187B988B90","Lost Boyz","hip-hop"
"AR8W8DN1187FB35ED0","The Germs","los angeles"
"AR8W8DN1187FB35ED0","The Germs","punk"
"AR8W8DN1187FB35ED0","The Germs","california"
"AR8W8DN1187FB35ED0","The Germs","usa"
"AR3793X1187FB50CB3","Chris Rea","rock"
"AR3793X1187FB50CB3","Chris Rea","blues"
"AR3793X1187FB50CB3","Chris Rea","british"
"AR3793X1187FB50CB3","Chris Rea","classic pop and rock"
"AR3793X1187FB50CB3","Chris Rea","rock blues"
"ARDGB6U1187FB3AD07","Eurythmics","british"
"ARDGB6U1187FB3AD07","Eurythmics","synthpop"
"ARDGB6U1187FB3AD07","Eurythmics","electronic"
"ARDGB6U1187FB3AD07","Eurythmics","new wave"
"ARDGB6U1187FB3AD07","Eurythmics","uk"
"ARDGB6U1187FB3AD07","Eurythmics","classic pop and rock"
"ARDGB6U1187FB3AD07","Eurythmics","rnb"
"ARDGB6U1187FB3AD07","Eurythmics","pop"
"ARDGB6U1187FB3AD07","Eurythmics","rock"
"ARUI8651187B9ACF52","John Cale","british"
"ARUI8651187B9ACF52","John Cale","drone"
"ARUI8651187B9ACF52","John Cale","art rock"
"ARUI8651187B9ACF52","John Cale","rock"
"ARUI8651187B9ACF52","John Cale","experimental rock"
"ARUI8651187B9ACF52","John Cale","uk"
"ARUI8651187B9ACF52","John Cale","welsh"
"ARUI8651187B9ACF52","John Cale","protopunk"
"ARUI8651187B9ACF52","John Cale","classic pop and rock"
"AR89DTT1187B9A7ED5","Suzanne Ciani","instrumental"
"AR89DTT1187B9A7ED5","Suzanne Ciani","electronic"
"AR89DTT1187B9A7ED5","Suzanne Ciani","new wave"
"AR0VZWC1187B99BA57","The Berzerker","grindcore"
"ARF2EHS1187B994F4E","Kings Of Leon","american"
"ARF2EHS1187B994F4E","Kings Of Leon","southern rock"
"ARF2EHS1187B994F4E","Kings Of Leon","garage rock"
"ARF2EHS1187B994F4E","Kings Of Leon","rock and indie"
"ARF2EHS1187B994F4E","Kings Of Leon","américain"
"ARF2EHS1187B994F4E","Kings Of Leon","alternative rock"
"ARF2EHS1187B994F4E","Kings Of Leon","usa"
"ARF2EHS1187B994F4E","Kings Of Leon","rock"
"ARF2EHS1187B994F4E","Kings Of Leon","united states"
"ARF2EHS1187B994F4E","Kings Of Leon","indie rock"
"AR06EB01187FB40150","NOFX","american"
"AR06EB01187FB40150","NOFX","punk"
"AR06EB01187FB40150","NOFX","usa"
"AR06EB01187FB40150","NOFX","punk rock"
"AR06EB01187FB40150","NOFX","américain"
"AR06EB01187FB40150","NOFX","hardcore punk"
"AR06EB01187FB40150","NOFX","ska punk"
"AR06EB01187FB40150","NOFX","los angeles"
"AR06EB01187FB40150","NOFX","skate punk"
"AR06EB01187FB40150","NOFX","rock"
"ARBJSO81187B9BA09B","Soda Stereo","rock en espanol"
"ARBJSO81187B9BA09B","Soda Stereo","rock"
"ARBJSO81187B9BA09B","Soda Stereo","latin"
"ARBJSO81187B9BA09B","Soda Stereo","dinamo"
"ARNLO5S1187B9B80CC","Van Halen","classic pop and rock"
"ARNLO5S1187B9B80CC","Van Halen","rock"
"ARTDQRC1187FB4EFD4","Black Eyed Peas","pop and chart"
"ARTDQRC1187FB4EFD4","Black Eyed Peas","pop"
"ARTDQRC1187FB4EFD4","Black Eyed Peas","will i am"
"ARTDQRC1187FB4EFD4","Black Eyed Peas","fergie"
"ARTDQRC1187FB4EFD4","Black Eyed Peas","united states"
"ARK9TRQ1187B99C095","Nine Inch Nails","industrial rock"
"ARK9TRQ1187B99C095","Nine Inch Nails","american"
"ARK9TRQ1187B99C095","Nine Inch Nails","rock"
"ARK9TRQ1187B99C095","Nine Inch Nails","industrial"
"ARK9TRQ1187B99C095","Nine Inch Nails","electronic"
"ARK9TRQ1187B99C095","Nine Inch Nails","creative commons"
"ARK9TRQ1187B99C095","Nine Inch Nails","rock and indie"
"ARK9TRQ1187B99C095","Nine Inch Nails","américain"
"ARK9TRQ1187B99C095","Nine Inch Nails","alternative rock"
"ARK9TRQ1187B99C095","Nine Inch Nails","synthpop"
"ARK9TRQ1187B99C095","Nine Inch Nails","usa"
"ARK9TRQ1187B99C095","Nine Inch Nails","industrial metal"
"ARODBRG1187FB3FD99","Nick Cave & The Bad Seeds","seen live"
"ARODBRG1187FB3FD99","Nick Cave & The Bad Seeds","rock and indie"
"ARODBRG1187FB3FD99","Nick Cave & The Bad Seeds","alternative"
