trackid,uid,rating
SOVLGJY12A8C13FBED,260,9
SOVLGJY12A8C13FBED,576,9
SOVLGJY12A8C13FBED,1787,8
SOMZWCG12A8C13C480,703,8
SOMZWCG12A8C13C480,3535,7
SOMZWCG12A8C13C480,5711,6
SOCIWDW12A8C13D406,1869,7
SOCIWDW12A8C13D406,3037,6
SOCIWDW12A8C13D406,4304,6
SOXVLOJ12AB0189215,2889,6
SOXVLOJ12AB0189215,3494,7
SOXVLOJ12AB0189215,5741,8
SONHOTT12A8C13493C,1511,6
SONHOTT12A8C13493C,3953,6
SONHOTT12A8C13493C,6235,10
SOFSOCN12A8C143F5D,844,10
SOFSOCN12A8C143F5D,2850,7
SOFSOCN12A8C143F5D,5001,8
SOYMRWW12A6D4FAB14,2246,9
SOYMRWW12A6D4FAB14,3602,9
SOYMRWW12A6D4FAB14,3702,7
SOMJBYD12A6D4F8557,2518,9
SOMJBYD12A6D4F8557,3682,8
SOMJBYD12A6D4F8557,5085,8
SOHKNRJ12A6701D1F8,2793,10
SOHKNRJ12A6701D1F8,4332,7
SOHKNRJ12A6701D1F8,5243,7
SOIAZJW12AB01853F1,1204,6
SOIAZJW12AB01853F1,2446,10
SOIAZJW12AB01853F1,4327,6
SOUDSGM12AC9618304,66,10
SOUDSGM12AC9618304,1591,9
SOUDSGM12AC9618304,3553,7
SOQHXMF12AB0182363,208,7
SOQHXMF12AB0182363,2170,10
SOQHXMF12AB0182363,4724,6
SOKEJEJ12A8C13E0D0,166,8
SOKEJEJ12A8C13E0D0,1280,8
SOKEJEJ12A8C13E0D0,2579,8
SOMUYGI12AB0188633,2986,9
SOMUYGI12AB0188633,4774,9
SOMUYGI12AB0188633,5354,8
SORAMLE12AB017C8B0,2884,7
SORAMLE12AB017C8B0,5856,9
SORAMLE12AB017C8B0,7813,6
SOBONFF12A6D4F84D8,350,8
SOBONFF12A6D4F84D8,2334,8
SOBONFF12A6D4F84D8,3855,6
SOHUOAP12A8AE488E9,2838,8
SOHUOAP12A8AE488E9,4192,7
SOHUOAP12A8AE488E9,4285,9
SOUQQEA12A8C134B1B,415,9
SOUQQEA12A8C134B1B,1282,6
SOUQQEA12A8C134B1B,2351,7
SOILPQQ12AB017E82A,40,6
SOILPQQ12AB017E82A,2919,6
SOILPQQ12AB017E82A,5273,9
SOXLBJT12A8C140925,3295,6
SOXLBJT12A8C140925,4199,8
SOXLBJT12A8C140925,7424,8
SOZVMJI12AB01808AF,1136,6
SOZVMJI12AB01808AF,1982,6
SOZVMJI12AB01808AF,5214,6
SOWTBJW12AC468AC6E,1390,6
SOWTBJW12AC468AC6E,1461,10
SOWTBJW12AC468AC6E,4204,9
SOBEBDG12A58A76D60,3188,6
SOBEBDG12A58A76D60,6039,9
SOBEBDG12A58A76D60,6219,9
SOZCTXZ12AB0182364,544,9
SOZCTXZ12AB0182364,1554,10
